longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-122.25,37.81,52,1758,460,686,422,3.1691,NEAR BAY,259400
-122.24,37.82,52,3481,751,1444,718,3.9,NEAR BAY,275700
-122.25,37.82,28,3337,855,1520,802,3.9063,NEAR BAY,225000
-122.25,37.82,52,1424,289,550,253,5.0917,NEAR BAY,262500
-122.25,37.82,32,3809,1098,1806,1022,2.6429,NEAR BAY,218500
-122.25,37.82,26,3959,1196,1749,1217,3.0233,NEAR BAY,255000
-122.25,37.83,52,2376,559,939,519,3.1484,NEAR BAY,224100
-122.25,37.83,35,1613,428,675,422,3.4722,NEAR BAY,243100
-122.25,37.83,52,1279,287,534,291,3.1429,NEAR BAY,231600
-122.25,37.83,28,5022,1750,2558,1661,2.4234,NEAR BAY,218500
-122.25,37.83,52,4190,1105,1786,1037,3.0897,NEAR BAY,234100
-122.23,37.84,50,2515,399,970,373,5.8596,NEAR BAY,327600
-122.23,37.84,47,3175,454,1098,485,5.2868,NEAR BAY,347600
-122.24,37.83,41,2576,406,794,376,5.956,NEAR BAY,366100
-122.24,37.85,37,334,54,98,47,4.9643,NEAR BAY,335000
-122.23,37.85,52,2800,411,1061,403,6.3434,NEAR BAY,373600
-122.24,37.84,52,3529,574,1177,555,5.1773,NEAR BAY,389500
-122.24,37.85,52,2612,365,901,367,7.2354,NEAR BAY,391100
-122.22,37.85,28,5287,1048,2031,956,5.457,NEAR BAY,337300
-122.22,37.84,50,2935,473,1031,479,7.5,NEAR BAY,295200
-122.21,37.84,44,3424,597,1358,597,6.0194,NEAR BAY,292300
-122.21,37.83,40,4991,674,1616,654,7.5544,NEAR BAY,411500
-122.2,37.84,30,2211,346,844,343,6.0666,NEAR BAY,311500
-122.21,37.84,34,3038,490,1140,496,7.0548,NEAR BAY,325900
-122.19,37.84,18,1617,210,533,194,11.6017,NEAR BAY,392600
-122.2,37.84,35,2865,460,1072,443,7.4882,NEAR BAY,319300
-122.21,37.83,34,5065,788,1627,766,6.8976,NEAR BAY,333300
-122.19,37.83,28,1326,184,463,190,8.2049,NEAR BAY,335200
-122.2,37.83,26,1589,223,542,211,8.401,NEAR BAY,351200
-122.19,37.83,29,1791,271,661,269,6.8538,NEAR BAY,368900
-122.19,37.82,32,1835,264,635,263,8.317,NEAR BAY,365900
-122.2,37.82,37,1229,181,420,176,7.0175,NEAR BAY,366700
-122.2,37.82,39,3770,534,1265,500,6.3302,NEAR BAY,362800
-122.18,37.81,30,292,38,126,52,6.3624,NEAR BAY,483300
-122.21,37.82,52,2375,333,813,350,7.0549,NEAR BAY,331400
-122.2,37.81,45,2964,436,1067,426,6.7851,NEAR BAY,323500
-122.21,37.8,50,2833,605,1260,552,2.8929,NEAR BAY,216700
-122.21,37.8,38,2254,535,951,487,3.0812,NEAR BAY,233100
-122.21,37.81,52,1389,212,510,224,5.2402,NEAR BAY,296400
-122.22,37.81,52,1971,335,765,308,6.5217,NEAR BAY,273700
-122.22,37.8,52,2183,465,1129,460,3.2632,NEAR BAY,227700
-122.22,37.8,52,2286,464,1073,441,3.0298,NEAR BAY,199600
-122.22,37.8,52,2721,541,1185,515,4.5428,NEAR BAY,239800
-122.22,37.81,52,2024,339,756,340,4.072,NEAR BAY,270100
-122.22,37.81,52,2944,536,1034,521,5.3509,NEAR BAY,302100
-122.23,37.8,52,2033,486,787,459,3.1603,NEAR BAY,269500
-122.23,37.81,52,1433,229,612,213,4.7708,NEAR BAY,314700
-122.22,37.81,52,2927,402,1021,380,8.1564,NEAR BAY,390100
-122.23,37.81,52,2315,292,861,258,8.8793,NEAR BAY,410300
-122.24,37.81,52,2485,313,953,327,6.8591,NEAR BAY,352400
-122.24,37.81,52,1490,238,634,256,6.0302,NEAR BAY,287300
-122.23,37.81,52,2814,365,878,352,7.508,NEAR BAY,348700
-122.24,37.81,52,2093,550,918,483,2.7477,NEAR BAY,243800
-122.24,37.8,52,888,168,360,175,2.1944,NEAR BAY,211500
-122.25,37.8,52,2087,510,1197,488,3.0149,NEAR BAY,218400
-122.24,37.81,52,2513,502,1048,518,3.675,NEAR BAY,269900
-122.25,37.81,46,3232,835,1373,747,3.225,NEAR BAY,218800
-122.25,37.8,42,4120,1065,1715,1015,2.9345,NEAR BAY,225000
-122.25,37.8,43,2364,792,1359,722,2.1429,NEAR BAY,250000
-122.25,37.8,41,1471,469,1062,413,1.6121,NEAR BAY,171400
-122.25,37.8,29,2468,864,1335,773,1.3929,NEAR BAY,193800
-122.24,37.79,27,1632,492,1171,429,2.3173,NEAR BAY,125000
-122.25,37.79,45,1786,526,1475,460,1.7772,NEAR BAY,97500
-122.25,37.79,50,629,188,742,196,2.6458,NEAR BAY,125000
-122.25,37.79,52,1339,391,1086,363,2.181,NEAR BAY,138800
-122.25,37.8,36,1678,606,1645,543,2.2303,NEAR BAY,116700
-122.25,37.8,43,2344,647,1710,644,1.6504,NEAR BAY,151800
-122.24,37.8,52,996,228,731,228,2.2697,NEAR BAY,127000
-122.24,37.8,52,1591,373,1118,347,2.1563,NEAR BAY,128600
-122.24,37.8,52,1586,398,1006,335,2.1348,NEAR BAY,140600
-122.24,37.8,47,2046,588,1213,554,2.6292,NEAR BAY,182700
-122.23,37.8,52,1192,289,772,257,2.3833,NEAR BAY,146900
-122.24,37.8,52,1803,420,1321,401,2.957,NEAR BAY,122800
-122.24,37.8,49,2838,749,1487,677,2.5238,NEAR BAY,169300
-122.23,37.8,52,783,184,488,186,1.9375,NEAR BAY,126600
-122.23,37.8,51,1590,414,949,392,1.9028,NEAR BAY,127900
-122.23,37.8,50,1746,480,1149,415,2.25,NEAR BAY,123500
-122.23,37.8,52,1252,299,844,280,2.3929,NEAR BAY,111900
-122.23,37.79,43,5963,1344,4367,1231,2.1917,NEAR BAY,112800
-122.23,37.79,52,1783,395,1659,412,2.9357,NEAR BAY,107900
-122.23,37.79,30,999,264,1011,263,1.8854,NEAR BAY,137500
-122.24,37.79,39,1469,431,1464,389,2.1638,NEAR BAY,105500
-122.24,37.79,47,1372,395,1237,303,2.125,NEAR BAY,95500
-122.24,37.79,52,674,180,647,168,3.375,NEAR BAY,116100
-122.24,37.79,43,1626,376,1284,357,2.2542,NEAR BAY,112200
-122.25,37.79,51,175,43,228,55,2.1,NEAR BAY,75000
-122.25,37.79,39,461,129,381,123,1.6,NEAR BAY,112500
-122.25,37.79,52,902,237,846,227,3.625,NEAR BAY,125000
-122.26,37.8,20,2373,779,1659,676,1.6929,NEAR BAY,115000
-122.22,37.77,52,391,128,520,138,1.6471,NEAR BAY,95000
-122.22,37.77,52,1137,301,866,259,2.59,NEAR BAY,96400
-122.23,37.77,52,769,206,612,183,2.57,NEAR BAY,72000
-122.23,37.78,52,472,146,415,126,2.6429,NEAR BAY,71300
-122.23,37.78,52,862,215,994,213,3.0257,NEAR BAY,80800
-122.22,37.78,50,1920,530,1525,477,1.4886,NEAR BAY,128800
-122.23,37.78,43,1420,472,1506,438,1.9338,NEAR BAY,112500
-122.23,37.78,52,986,258,1008,255,1.4844,NEAR BAY,119400
-122.23,37.78,44,2340,825,2813,751,1.6009,NEAR BAY,118100
-122.23,37.79,48,1696,396,1481,343,2.0375,NEAR BAY,122500
-122.23,37.79,49,1175,217,859,219,2.293,NEAR BAY,106300
-122.22,37.79,37,2343,574,1608,523,2.1494,NEAR BAY,132500
-122.23,37.79,30,610,145,425,140,1.6198,NEAR BAY,122700
-122.23,37.79,40,930,199,564,184,1.3281,NEAR BAY,113300
-122.22,37.79,44,1487,314,961,272,3.5156,NEAR BAY,109500
-122.22,37.79,52,3424,690,2273,685,3.9048,NEAR BAY,164700
-122.21,37.79,52,762,190,600,195,3.0893,NEAR BAY,125000
-122.22,37.79,46,2366,575,1647,527,2.6042,NEAR BAY,124700
-122.22,37.79,49,1826,450,1201,424,2.5,NEAR BAY,136700
-122.22,37.79,38,3049,711,2167,659,2.7969,NEAR BAY,141700
-122.2,37.79,29,1640,376,939,340,2.8321,NEAR BAY,150000
-122.21,37.79,47,1543,307,859,292,2.9583,NEAR BAY,138800
-122.21,37.79,34,2364,557,1517,516,2.8365,NEAR BAY,139200
-122.21,37.79,35,1745,409,1143,386,2.875,NEAR BAY,143800
-122.21,37.8,39,2003,500,1109,464,3.0682,NEAR BAY,156500
-122.21,37.8,39,2018,447,1221,446,3.0757,NEAR BAY,151000
-122.2,37.8,43,3045,499,1115,455,4.9559,NEAR BAY,273000
-122.2,37.8,52,1547,293,706,268,4.7721,NEAR BAY,217100
-122.21,37.8,52,3519,711,1883,706,3.4861,NEAR BAY,187100
-122.2,37.8,41,2070,354,804,340,5.1184,NEAR BAY,239600
-122.21,37.8,48,1321,263,506,252,4.0977,NEAR BAY,229700
-122.19,37.8,48,1694,259,610,238,4.744,NEAR BAY,257300
-122.19,37.8,46,1938,341,768,332,4.2727,NEAR BAY,246900
-122.19,37.79,50,968,195,462,184,2.9844,NEAR BAY,179900
-122.2,37.79,40,1060,256,667,235,4.1739,NEAR BAY,169600
-122.2,37.8,46,2041,405,1059,399,3.8487,NEAR BAY,203300
-122.19,37.8,52,1813,271,637,277,4.0114,NEAR BAY,263400
-122.19,37.79,45,2718,451,1106,454,4.6563,NEAR BAY,231800
-122.19,37.79,28,3144,761,1737,669,2.9297,NEAR BAY,140500
-122.2,37.79,35,1802,459,1009,390,2.3036,NEAR BAY,126000
-122.2,37.79,49,882,195,737,210,2.6667,NEAR BAY,122000
-122.2,37.79,44,1621,452,1354,491,2.619,NEAR BAY,134700
-122.21,37.79,45,2115,533,1530,474,2.4167,NEAR BAY,139400
-122.2,37.79,45,2021,528,1410,480,2.7788,NEAR BAY,115400
-122.21,37.78,46,2239,508,1390,569,2.7352,NEAR BAY,137300
-122.21,37.78,52,1477,300,1065,269,1.8472,NEAR BAY,137000
-122.21,37.78,52,1056,224,792,245,2.6583,NEAR BAY,142600
-122.21,37.78,49,898,244,779,245,3.0536,NEAR BAY,137500
-122.22,37.78,44,2968,710,2269,610,2.3906,NEAR BAY,111700
-122.21,37.78,43,1702,460,1227,407,1.7188,NEAR BAY,126800
-122.21,37.78,47,881,248,753,241,2.625,NEAR BAY,111300
-122.22,37.77,40,494,114,547,135,2.8015,NEAR BAY,114800
-122.22,37.78,50,1776,473,1807,440,1.7276,NEAR BAY,102300
-122.22,37.78,44,1678,514,1700,495,2.0801,NEAR BAY,131900
-122.22,37.78,51,1637,463,1543,393,2.489,NEAR BAY,119100
-122.21,37.76,52,1420,314,1085,300,1.7546,NEAR BAY,80600
-122.21,37.77,52,591,173,353,137,4.0904,NEAR BAY,80600
-122.21,37.77,52,745,153,473,149,2.6765,NEAR BAY,88800
-122.2,37.77,49,2272,498,1621,483,2.4338,NEAR BAY,102400
-122.21,37.77,46,1234,375,1183,354,2.3309,NEAR BAY,98700
-122.21,37.77,43,1017,328,836,277,2.2604,NEAR BAY,100000
-122.19,37.77,42,932,254,900,263,1.8039,NEAR BAY,92300
-122.2,37.77,39,2689,597,1888,537,2.2562,NEAR BAY,94800
-122.2,37.77,41,1547,415,1024,341,2.0562,NEAR BAY,102000
-122.2,37.78,52,2300,443,1225,423,3.5398,NEAR BAY,158400
-122.2,37.78,39,1752,399,1071,376,3.1167,NEAR BAY,121600
-122.2,37.78,50,1867,403,1128,378,2.5401,NEAR BAY,129100
-122.2,37.77,43,2430,502,1537,484,2.898,NEAR BAY,121400
-122.21,37.78,44,1729,414,1240,393,2.3125,NEAR BAY,102800
-122.19,37.78,52,1026,180,469,168,2.875,NEAR BAY,160000
-122.19,37.77,52,2170,428,1086,425,3.3715,NEAR BAY,143900
-122.19,37.77,52,2329,445,1144,417,3.5114,NEAR BAY,151200
-122.19,37.78,52,2492,415,1109,375,4.3125,NEAR BAY,164400
-122.19,37.78,52,2198,397,984,369,3.22,NEAR BAY,156500
-122.18,37.78,33,142,31,575,47,3.875,NEAR BAY,225000
-122.19,37.78,49,1183,205,496,209,5.2328,NEAR BAY,174200
-122.19,37.78,52,1070,193,555,190,3.7262,NEAR BAY,166900
-122.2,37.78,45,1766,332,869,327,4.5893,NEAR BAY,163500
-122.18,37.79,39,617,95,236,106,5.2578,NEAR BAY,253000
-122.18,37.79,41,1411,233,626,214,7.0875,NEAR BAY,240700
-122.18,37.79,46,2109,387,922,329,3.9712,NEAR BAY,208100
-122.19,37.79,47,1229,243,582,256,2.9514,NEAR BAY,198100
-122.19,37.79,50,954,217,546,201,2.6667,NEAR BAY,172800
-122.18,37.81,37,1643,262,620,266,5.4446,NEAR BAY,336700
-122.18,37.8,34,1355,195,442,195,6.2838,NEAR BAY,318200
-122.18,37.8,23,2317,336,955,328,6.7527,NEAR BAY,285800
-122.13,37.77,24,2459,317,916,324,7.0712,NEAR BAY,293000
-122.16,37.79,22,12842,2048,4985,1967,5.9849,NEAR BAY,371000
-122.17,37.78,42,1524,260,651,267,3.6875,NEAR BAY,157300
-122.17,37.77,30,3326,746,1704,703,2.875,NEAR BAY,135300
-122.18,37.78,43,1985,440,1085,407,3.4205,NEAR BAY,136700
-122.18,37.78,50,1642,322,713,284,3.2984,NEAR BAY,160700
-122.17,37.78,49,893,177,468,181,3.875,NEAR BAY,140600
-122.17,37.78,52,653,128,296,121,4.175,NEAR BAY,144000
-122.16,37.77,47,1256,,570,218,4.375,NEAR BAY,161900
-122.16,37.77,48,977,194,446,180,4.7708,NEAR BAY,156300
-122.16,37.77,45,2324,397,968,384,3.5739,NEAR BAY,176000
-122.16,37.77,39,1583,349,857,316,3.0958,NEAR BAY,145800
-122.17,37.77,39,1612,342,912,322,3.3958,NEAR BAY,141900
-122.17,37.77,31,2424,533,1360,452,1.871,NEAR BAY,90700
-122.17,37.76,41,1594,367,1074,355,1.9356,NEAR BAY,90600
-122.17,37.76,47,2118,413,965,382,2.1842,NEAR BAY,107900
-122.18,37.76,37,1575,358,933,320,2.2917,NEAR BAY,107000
-122.17,37.76,38,1764,397,987,354,2.4333,NEAR BAY,98200
-122.18,37.76,50,1187,261,907,246,1.9479,NEAR BAY,89500
-122.18,37.76,52,754,175,447,165,3.9063,NEAR BAY,93800
-122.18,37.76,49,2308,452,1299,451,1.8407,NEAR BAY,96700
-122.18,37.77,27,909,236,396,157,2.0786,NEAR BAY,97500
-122.18,37.77,42,1180,257,877,268,2.8125,NEAR BAY,97300
-122.18,37.76,43,2018,408,1111,367,1.8913,NEAR BAY,91200
-122.19,37.76,49,1368,282,790,269,1.7056,NEAR BAY,91400
-122.18,37.77,52,2744,547,1479,554,2.2768,NEAR BAY,96200
-122.18,37.77,51,2107,471,1173,438,3.2552,NEAR BAY,120100
-122.18,37.77,52,1748,362,1029,366,2.0556,NEAR BAY,100000
-122.19,37.76,52,2024,391,1030,350,2.4659,NEAR BAY,94700
-122.2,37.76,47,1116,259,826,279,1.75,NEAR BAY,85700
-122.19,37.77,41,2036,510,1412,454,2.0469,NEAR BAY,89300
-122.19,37.77,45,1852,393,1132,349,2.7159,NEAR BAY,101400
-122.19,37.76,41,921,207,522,159,1.2083,NEAR BAY,72500
-122.19,37.76,45,995,238,630,237,1.925,NEAR BAY,74100
-122.2,37.75,36,606,132,531,133,1.5809,NEAR BAY,70000
-122.2,37.76,37,2680,736,1925,667,1.4097,NEAR BAY,84600
-122.19,37.76,38,1493,370,1144,351,0.7683,NEAR BAY,81800
-122.19,37.75,19,2207,565,1481,520,1.3194,NEAR BAY,81400
-122.19,37.75,28,856,189,435,162,0.8012,NEAR BAY,81800
-122.19,37.76,26,1293,297,984,303,1.9479,NEAR BAY,85800
-122.19,37.74,36,847,212,567,159,1.1765,NEAR BAY,87100
-122.18,37.74,42,541,154,380,123,2.3456,NEAR BAY,83500
-122.19,37.73,44,1066,253,825,244,2.1538,NEAR BAY,79700
-122.19,37.74,43,707,147,417,155,2.5139,NEAR BAY,83400
-122.19,37.73,45,1528,291,801,287,1.2625,NEAR BAY,84700
-122.18,37.73,42,909,215,646,198,2.9063,NEAR BAY,80000
-122.18,37.73,43,1391,293,855,285,2.5192,NEAR BAY,76400
-122.18,37.73,44,548,119,435,136,2.1111,NEAR BAY,79700
-122.18,37.73,42,4074,874,2736,780,2.455,NEAR BAY,82400
-122.17,37.74,41,1613,445,1481,414,2.4028,NEAR BAY,97700
-122.17,37.74,47,463,134,327,137,2.15,NEAR BAY,97200
-122.17,37.74,43,818,193,494,179,2.4776,NEAR BAY,101600
-122.17,37.73,43,1473,371,1231,341,2.1587,NEAR BAY,86500
-122.18,37.74,35,504,126,323,109,1.8438,NEAR BAY,90500
-122.17,37.74,46,1026,226,749,225,3.0298,NEAR BAY,107600
-122.17,37.74,46,769,183,693,178,2.25,NEAR BAY,84200
-122.18,37.74,46,2103,391,1339,354,2.2467,NEAR BAY,88900
-122.18,37.75,45,330,76,282,80,4.0469,NEAR BAY,80700
-122.18,37.75,46,941,218,621,195,1.325,NEAR BAY,87100
-122.17,37.75,38,992,,732,259,1.6196,NEAR BAY,85100
-122.18,37.75,45,990,261,901,260,2.1731,NEAR BAY,82000
-122.19,37.75,36,1126,263,482,150,1.9167,NEAR BAY,82800
-122.18,37.75,43,1036,233,652,213,2.069,NEAR BAY,84600
-122.18,37.75,36,1047,214,651,166,1.712,NEAR BAY,82100
-122.17,37.76,33,1280,307,999,286,2.5625,NEAR BAY,89300
-122.17,37.75,43,1587,320,907,306,1.9821,NEAR BAY,98300
-122.17,37.75,41,1257,271,828,230,2.5043,NEAR BAY,92300
-122.17,37.75,44,1218,248,763,254,2.3281,NEAR BAY,88800
-122.17,37.75,48,1751,390,935,349,1.4375,NEAR BAY,90000
-122.16,37.76,45,2299,514,1437,484,2.5122,NEAR BAY,95500
-122.16,37.75,38,2457,624,1516,482,1.5625,NEAR BAY,91700
-122.17,37.75,47,998,211,597,185,3.1587,NEAR BAY,100400
-122.17,37.76,40,1685,343,949,342,1.8426,NEAR BAY,94800
-122.16,37.76,46,1827,307,881,302,4.6696,NEAR BAY,164300
-122.16,37.76,36,2781,574,1438,519,2.4598,NEAR BAY,155500
-122.15,37.76,39,1823,286,763,270,6.0749,NEAR BAY,196900
-122.14,37.77,27,2229,365,1297,355,4.8304,NEAR BAY,279100
-122.14,37.76,34,1513,231,545,211,5.5701,NEAR BAY,252800
-122.13,37.76,26,3266,491,1222,533,5.37,NEAR BAY,275400
-122.12,37.75,33,1809,261,808,219,6.86,NEAR BAY,250000
-122.12,37.75,28,794,111,329,109,7.6923,NEAR BAY,329800
-122.14,37.75,36,690,105,299,109,4.0313,NEAR BAY,195500
-122.14,37.75,33,1334,200,579,202,6.8323,NEAR BAY,255900
-122.13,37.75,30,414,54,137,50,4.975,NEAR BAY,311100
-122.13,37.75,36,768,93,229,93,5.3602,NEAR BAY,330000
-122.13,37.74,41,4400,666,1476,648,5,NEAR BAY,248900
-122.16,37.75,46,954,161,429,154,2.925,NEAR BAY,142900
-122.15,37.75,40,1445,256,849,255,3.8913,NEAR BAY,126300
-122.15,37.75,44,1938,399,946,331,3.225,NEAR BAY,135800
-122.15,37.74,41,856,178,571,191,3.1458,NEAR BAY,130600
-122.16,37.75,24,1790,454,1137,386,2.537,NEAR BAY,107900
-122.16,37.75,44,617,131,378,135,2.5568,NEAR BAY,111100
-122.15,37.74,43,1383,275,853,272,3.5083,NEAR BAY,122000
-122.15,37.74,49,1325,277,764,282,3.3125,NEAR BAY,118000
-122.16,37.75,40,1227,294,928,261,1.8235,NEAR BAY,95200
-122.16,37.75,35,667,140,406,133,3.8047,NEAR BAY,94300
-122.17,37.74,34,1223,281,824,280,2.2917,NEAR BAY,92500
-122.17,37.75,37,1379,287,835,259,2.4962,NEAR BAY,91800
-122.16,37.74,43,1534,300,826,295,4.0417,NEAR BAY,109400
-122.16,37.74,46,1029,181,567,211,3.4844,NEAR BAY,129500
-122.16,37.74,52,771,147,355,144,4.1458,NEAR BAY,143400
-122.16,37.74,47,824,223,533,166,2.625,NEAR BAY,98200
-122.16,37.74,44,1097,239,609,215,2.0227,NEAR BAY,103100
-122.29,37.9,49,1283,238,576,236,3.3333,NEAR BAY,276800
