Algebra,Bitlen,Base,#Threads,Total Time,Total Comm,Conv Time,Conv Comm,MatMul Time,MatMul Comm,BatchNorm Time,BatchNorm Comm,Truncation Time,Truncation Comm,ReLU Time,ReLU Comm,MaxPool Time,MaxPool Comm,AvgPool Time,AvgPool Comm,ArgMax Time,ArgMax Comm
Ring,60,4,4,0.427,1.27975,0.13,0.573084,0.13,0.573084,0,0,0.295,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,0.366,1.27975,0.099,0.573084,0.099,0.573084,0,0,0.266,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,2.943,17.5317,0,0,0,0,0,0,0.253,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,0.64,27.9749,0.285,13.6603,0.285,13.6603,0,0,0.354,0.648199,0,0,0,0,0,0,0,0
Ring,60,4,4,0.412,1.27975,0.139,0.573084,0.139,0.573084,0,0,0.272,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,2.707,17.5317,0,0,0,0,0,0,0.143,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,0.664,27.9749,0.305,13.6603,0.305,13.6603,0,0,0.341,0.648199,0,0,0,0,0,0,0,0
Ring,60,4,4,4.247,27.2126,0,0,0,0,0,0,0.424,0.648199,0,0,0,0,0,0,0,0
Ring,60,4,4,1.088,5.02351,0.681,2.29234,0.679,2.29234,0,0,0.376,0.434734,0,0,0,0,0,0,0,0
Ring,60,4,4,5.841,19.3728,0,0,0,0,0,0,0.479,0.434734,0,0,0,0,0,0,0,0
Ring,60,4,4,0.582,1.27975,0.134,0.573084,0.134,0.573084,0,0,0.43,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,0.401,27.3205,0.4,13.6603,0.4,13.6603,0,0,0,0,0,0,0,0,0,0,0,0
Ring,60,4,4,0.316,27.3205,0.301,13.6603,0.301,13.6603,0,0,0,0,0,0,0,0,0,0,0,0
Ring,60,4,4,3.178,26.5583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ring,60,4,4,0.878,8.72405,0.607,4.1012,0.607,4.1012,0,0,0.267,0.51647,0,0,0,0,0,0,0,0
Ring,60,4,4,0.209,8.20241,0.199,4.1012,0.199,4.1012,0,0,0,0,0,0,0,0,0,0,0,0
Ring,60,4,4,0.66,4.27094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ring,60,4,4,0.039,1.27975,0.016,0.573084,0.015,0.573084,0,0,0.022,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,0.037,1.27975,0.012,0.573084,0.012,0.573084,0,0,0.024,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,0.031,0.621881,0,0,0,0,0,0,0.02,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,0.034,0.370569,0,0,0,0,0,0,0.026,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,0.038,0.370569,0,0,0,0,0,0,0.027,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,0.079,4.27094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ring,60,4,4,0.055,8.20241,0.055,4.1012,0.055,4.1012,0,0,0,0,0,0,0,0,0,0,0,0
Ring,60,4,4,0.069,4.27094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ring,60,4,4,0.12,8.72405,0.067,4.1012,0.067,4.1012,0,0,0.052,0.51647,0,0,0,0,0,0,0,0
Ring,60,4,4,0.075,3.63736,0,0,0.031,1.55786,0,0,0.043,0.51647,0,0,0,0,0,0,0,0
Ring,60,4,4,0.043,0.974138,0.019,0.420277,0.019,0.420277,0,0,0.022,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,0.04,0.576303,0,0,0,0,0,0,0.022,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,0.042,0.974138,0.013,0.420277,0.013,0.420277,0,0,0.029,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,0.027,0.576303,0,0,0,0,0,0,0.02,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,0.037,0.576303,0,0,0,0,0,0,0.022,0.132517,0,0,0,0,0,0,0,0
Ring,60,4,4,0.035,0.138979,0.008,0.0431328,0.007,0.0431328,0,0,0.026,0.0525475,0,0,0,0,0,0,0,0
Ring,60,4,4,0.042,0.164042,0,0,0,0,0,0,0.038,0.0525475,0,0,0,0,0,0,0,0
Ring,60,4,4,1.188,76.1393,0.787,34.288,0.785,34.288,0,0,0.393,7.50373,0,0,0,0,0,0,0,0
Ring,60,4,4,1.208,76.1393,0.757,34.288,0.749,34.288,0,0,0.423,7.50373,0,0,0,0,0,0,0,0
Ring,60,4,4,1.057,25.2788,0,0,0,0,0,0,0.669,7.50373,0,0,0,0,0,0,0,0
Ring,60,4,4,1.386,76.1393,0.844,34.288,0.843,34.288,0,0,0.539,7.50373,0,0,0,0,0,0,0,0
Ring,60,4,4,0.639,25.2788,0,0,0,0,0,0,0.391,7.50373,0,0,0,0,0,0,0,0
Ring,60,4,4,4.025,155.22,2.175,61.0051,2.159,61.0051,0,0,1.847,32.8922,0,0,0,0,0,0,0,0
Ring,60,4,4,2.162,64.711,0,0,0,0,0,0,1.849,32.8922,0,0,0,0,0,0,0,0
Ring,60,4,4,3.702,155.22,1.795,61.0051,1.781,61.0051,0,0,1.9,32.8922,0,0,0,0,0,0,0,0
